Designator,Mid X,Mid Y,Rotation,Layer
C1,26.25,23.5,0.0,top
C10,15.75,45.25,180.0,top
C11,55.75,29.5,270.0,top
C12,54.25,29.5,270.0,top
C13,50.25,29.5,270.0,top
C14,52.75,29.5,270.0,top
C15,66.0,45.25,270.0,top
C16,52.75,11.5,0.0,top
C17,52.75,9.75,0.0,top
C18,29.75,23.5,180.0,top
C19,63.75,35.5,180.0,top
C2,11.75,29.75,270.0,top
C20,52.75,8.25,0.0,top
C21,52.75,6.5,0.0,top
C22,34.25,38.25,90.0,top
C23,34.25,41.75,270.0,top
C24,28.25,6.5,0.0,top
C25,46.25,32.25,90.0,top
C26,28.25,8.25,0.0,top
C27,28.25,9.75,0.0,top
C28,28.25,11.5,0.0,top
C29,44.75,39.75,0.0,top
C3,50.75,16.56762,90.0,top
C30,34.25,31.25,90.0,top
C31,34.25,34.75,270.0,top
C32,67.25,42.75,180.0,top
C33,31.75,26.25,270.0,top
C34,26.25,16.56762,90.0,top
C35,19.5,23.25,0.0,top
C37,47.0,28.75,90.0,top
C38,42.5,28.75,270.0,top
C39,3.75,6.5,0.0,top
C4,70.0,29.75,90.0,top
C40,3.75,8.25,0.0,top
C41,3.75,9.75,0.0,top
C42,3.75,11.5,0.0,top
C43,34.25,24.25,90.0,top
C44,34.25,27.75,270.0,top
C5,70.0,33.75,90.0,top
C6,11.75,38.0,270.0,top
C7,31.5,37.75,90.0,top
C8,31.5,41.25,270.0,top
C9,27.5,43.75,0.0,top
D3,71.5,26.5,0.0,top
IC1,21.5,33.5,270.0,top
IC2,52.75,33.75,0.0,top
IC3,57.75,14.25,90.0,top
IC4,33.25,14.25,90.0,top
IC5,8.75,14.25,90.0,top
J1,76.25,17.5,270.0,top
J10,37.75,-6.955,0.0,top
J11,41.75,45.545,0.0,top
J13,71.0,34.78,270.0,bottom
J14,13.25,-6.955,0.0,top
J2,7.205,33.5,90.0,top
J3,57.25,45.545,0.0,top
J4,13.25,-1.0,0.0,top
J5,62.25,-1.0,0.0,top
J6,60.0,31.25,180.0,top
J8,37.75,-1.0,0.0,top
J9,62.25,-6.955,0.0,top
L1,67.25,41.25,0.0,top
LED1,74.5,5.0,90.0,top
LR1,58.5,26.6,270.0,top
LR2,61.0,26.6,270.0,top
Q1,73.25,3.25,180.0,bottom
Q10,20.0,5.0,180.0,top
Q11,14.5,5.0,180.0,top
Q12,9.0,5.0,180.0,top
Q2,69.0,5.0,180.0,top
Q3,63.5,5.0,180.0,top
Q4,58.0,5.0,180.0,top
Q6,64.0,27.1,90.0,top
Q7,44.5,5.0,180.0,top
Q8,39.0,5.0,180.0,top
Q9,33.5,5.0,180.0,top
R1,2.705,35.375,0.0,top
R10,50.25,-2.5,90.0,top
R11,51.75,-2.5,90.0,top
R12,53.25,-2.5,90.0,top
R13,52.5,38.25,0.0,top
R14,2.705,36.875,180.0,top
R15,3.0,23.0,270.0,top
R16,11.75,34.5,90.0,top
R17,57.25,40.75,0.0,top
R2,46.0,-0.25,0.0,top
R24,36.75,39.0,180.0,top
R25,36.75,42.5,180.0,top
R26,36.75,37.5,180.0,top
R27,36.75,41.0,180.0,top
R28,64.0,22.85,180.0,top
R29,69.25,14.25,90.0,top
R3,46.0,-1.75,180.0,top
R30,63.75,14.25,90.0,top
R31,64.0,24.35,180.0,top
R38,44.75,41.25,180.0,top
R39,41.25,39.75,180.0,top
R4,73.25,11.0,180.0,top
R40,36.75,32.0,180.0,top
R41,36.75,35.5,180.0,top
R42,36.75,30.5,180.0,top
R43,36.75,34.0,180.0,top
R44,44.75,14.25,90.0,top
R45,39.25,14.25,90.0,top
R46,27.5,3.75,180.0,top
R47,27.5,2.25,180.0,top
R48,70.25,36.75,180.0,top
R49,70.25,39.75,180.0,top
R5,57.25,43.0,180.0,top
R50,70.25,38.25,180.0,top
R52,44.0,28.75,90.0,top
R53,45.5,28.75,90.0,top
R54,2.705,29.375,0.0,top
R55,2.705,27.875,0.0,top
R56,2.705,33.875,180.0,top
R57,2.705,30.875,0.0,top
R58,2.705,32.375,0.0,top
R59,46.75,-6.5,90.0,top
R6,7.25,42.0,0.0,top
R60,53.25,-6.5,90.0,top
R61,63.75,37.75,0.0,top
R62,63.75,40.75,0.0,top
R63,63.75,39.25,0.0,top
R7,72.75,5.0,90.0,top
R70,36.75,25.0,180.0,top
R71,36.75,28.5,180.0,top
R72,36.75,23.5,180.0,top
R73,36.75,27.0,180.0,top
R74,20.25,14.3,90.0,top
R75,14.75,14.3,90.0,top
R76,22.25,-6.5,90.0,top
R8,62.75,43.0,0.0,top
R9,2.705,38.375,180.0,top
SW1,78.0,6.0,180.0,top
SW2,7.25,23.0,90.0,top
SW4,25.0,-1.25,270.0,top
SW5,28.5,-1.25,270.0,top
U1,43.75,34.75,180.0,top
U2,75.5,31.75,180.0,top
Y1,22.0,44.5,0.0,top
